

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
756.000  004.000  004.000: sourcing C:\Users\sshen\.vim\bundle\nerdtree\lib\nerdtree\nerdtree.vim
760.000  001.000  001.000: sourcing C:\Users\sshen\.vim\bundle\nerdtree\lib\nerdtree\ui.vim
763.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\nerdtree\lib\nerdtree\event.vim
765.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\nerdtree\lib\nerdtree\notifier.vim
768.000  001.000  001.000: sourcing C:\Users\sshen\.vim\bundle\nerdtree\autoload\nerdtree\ui_glue.vim
808.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\nerdtree\nerdtree_plugin\exec_menuitem.vim
810.000  001.000  001.000: sourcing C:\Users\sshen\.vim\bundle\nerdtree\nerdtree_plugin\fs_menu.vim
814.000  001.000  001.000: sourcing C:\Users\sshen\.vim\bundle\vim-nerdtree-tabs\nerdtree_plugin\vim-nerdtree-tabs.vim
821.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\nerdtree\nerdtree_plugin\exec_menuitem.vim
822.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\nerdtree\nerdtree_plugin\fs_menu.vim
826.000  001.000  001.000: sourcing C:\Users\sshen\.vim\bundle\vim-nerdtree-tabs\nerdtree_plugin\vim-nerdtree-tabs.vim
842.000  117.000  102.000: sourcing C:\Users\sshen\.vim\bundle\nerdtree\plugin\NERD_tree.vim
845.000  001.000  001.000: sourcing C:\Users\sshen\.vim\bundle\vim-surround\plugin\surround.vim
848.000  001.000  001.000: sourcing C:\Users\sshen\.vim\bundle\conflict-marker.vim\plugin\conflict_marker.vim
850.000  001.000  001.000: sourcing C:\Users\sshen\.vim\bundle\auto-pairs\plugin\auto-pairs.vim
855.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\ctrlp.vim\autoload\ctrlp\mrufiles.vim
856.000  005.000  005.000: sourcing C:\Users\sshen\.vim\bundle\ctrlp.vim\plugin\ctrlp.vim
857.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\ctrlp-funky\plugin\funky.vim
